Date,Opp,Score,Type,Min,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,+/-,Pts
Nov 27,SAC,L 141-137,Reg,49:45:00,10,25,40,2,13,15.4,8,11,72.7,1,6,7,11,7,1,0,4,-7,30
Nov 25,@IND,W 124-116,Reg,43:28:00,13,29,44.8,5,12,41.7,8,9,88.9,0,5,5,6,2,1,2,2,-3,39
Nov 22,@DET,W 121-116,Reg,21:26,4,7,57.1,1,3,33.3,1,1,100,0,1,1,5,2,0,0,1,-15,10
Nov 20,@BOS,L 108-130,Reg,32:04:00,10,16,62.5,3,7,42.9,0,1,0,1,5,6,2,3,2,0,3,-4,23
Nov 3,HOU,W 117-119,Reg,36:16:00,13,21,61.9,2,4,50,2,2,100,0,4,4,10,4,2,0,3,8,30
Nov 1,HOU,W 85-95,Reg,34:32:00,6,19,31.6,0,6,0,3,4,75,1,6,7,8,2,4,1,0,7,15
Oct 30,CLE,W 101-113,Reg,37:57:00,10,22,45.5,1,10,10,5,5,100,1,2,3,8,7,3,1,1,9,26
Oct 25,MEM,W 118-121,Reg,40:18:00,7,19,36.8,4,9,44.4,1,2,50,0,6,6,6,3,2,2,1,-1,19
Oct 23,PHO,L 115-105,Reg,36:32:00,8,18,44.4,5,9,55.6,4,4,100,0,2,2,5,5,2,0,4,-6,25
Oct 20,GS,L 121-114,Reg,36:44:00,13,23,56.5,5,11,45.5,3,6,50,1,10,11,5,4,1,1,5,-2,34
